N,tilt,az,tilt_err,az_err
5,6.162660437972995,199.56817165395603,0.12739034385803372,-1.155033420268154
5,6.014780820051327,202.0437670209235,-0.020489274063633545,1.3205619466993141
5,5.8060648399287285,201.85580168317807,-0.2292052541862324,1.1325966089538895
5,6.254283935102706,203.0584331827374,0.21901384098774557,2.3352281085132063
5,5.424550917451297,199.67086060005724,-0.6107191766636637,-1.0523444741669437
5,5.754803872467694,199.77170626352805,-0.2804662216472664,-0.9514988106961368
5,6.085960022387267,200.96650745926576,0.05068992827230634,0.24330238504157364
5,6.199155876326843,199.38862834699896,0.16388578221188244,-1.334576727225226
5,5.3515733214168515,199.73761425068216,-0.6836967726981094,-0.9855908235420259
5,6.311402901452644,199.48036334215604,0.2761328073376834,-1.2428417320681433
5,5.9514802553089625,199.70179171382821,-0.08378983880599833,-1.021413360395968
5,6.14697987496644,199.00526248672938,0.11170978085147887,-1.7179425874948038
5,5.788187288751681,200.91677685227822,-0.24708280536327987,0.1935717780540358
5,6.031178085291582,198.94397607561768,-0.004092008823378457,-1.7792289986064986
5,5.890759180616186,201.64219715812843,-0.14451091349877476,0.9189920839042429
5,6.037273850046931,202.2543981595533,0.0020037559319705522,1.5311930853291074
5,6.140304822448537,194.2813379680201,0.10503472833357641,-6.441867106204086
5,5.944149012884414,200.0269816622435,-0.09112108123054696,-0.6962234119806965
5,6.262246773509326,200.21039260716606,0.22697667939436528,-0.5128124670581258
5,5.681241877046583,202.52920177987346,-0.35402821706837795,1.805996705649278
5,6.030594757702007,201.66779037330647,-0.004675336412954145,0.9445852990822914
5,5.977939965549771,198.70721305283132,-0.05733012856518993,-2.0159920213928615
5,6.25408730286716,200.3150594216913,0.21881720875219912,-0.4081456525328804
5,6.055532521302275,201.97869418381856,0.020262427187313747,1.2554891095943788
5,5.722646384475249,202.40910083228727,-0.31262370963971176,1.685895758063083
5,6.1616858916957025,202.68115589698274,0.12641579758074162,1.957950822758562
5,5.963741522320674,198.87859720278675,-0.07152857179428729,-1.8446078714374323
5,6.312475165800028,201.27803909172485,0.27720507168506714,0.5548340175006672
5,5.901789271938266,200.9499402348405,-0.1334808221766952,0.2267351606163288
5,5.650441666127256,201.19024183652505,-0.38482842798770456,0.46703676230086444
5,6.409333357289194,197.96547609721148,0.3740632631742331,-2.757728977012704
5,5.789911947012645,200.89865608309674,-0.24535814710231563,0.1754510088725567
5,6.365616852098586,199.51901298482878,0.3303467579836248,-1.2041920893954057
5,5.572934786764987,201.638219625127,-0.4623353073499734,0.9150145509028107
5,6.132879338875975,201.85622468164016,0.0976092447610144,1.1330196074159744
5,6.01981014303061,200.23764288329951,-0.01545995108435072,-0.4855621909246679
5,5.689432839014066,197.99500374567896,-0.3458372551008946,-2.728201328545225
5,5.874168073784056,200.67937215436973,-0.1611020203309046,-0.04383291985445226
5,6.15314918690226,199.13354747951857,0.11787909278729902,-1.5896575947056135
5,5.975663070887744,203.6576554304144,-0.059607023227217226,2.9344503561902116
5,5.79262135912526,202.17055565970787,-0.24264873498970108,1.44735058548369
5,6.057411434658718,198.94430976584195,0.02214134054375716,-1.778895308382232
5,5.82922777830817,202.03053123824432,-0.20604231580679055,1.3073261640201395
5,6.069623727380363,201.96979635949353,0.034353633265402195,1.2465912852693464
5,6.209836553451576,201.15828852725167,0.1745664593366154,0.4350834530274881
5,5.769566503255033,201.41590236616807,-0.26570359085992745,0.6926972919438867
5,5.667644332402342,201.15781146960808,-0.3676257617126186,0.434606395383895
5,5.865702530010953,201.87440094271403,-0.16956756410400775,1.1511958684898502
5,6.191530316154353,199.49752111228082,0.15626022203939183,-1.2256839619433606
5,6.014141078763667,200.59636338622772,-0.021129015351293745,-0.12684168799646045
8,5.9586908538134695,199.81480280993858,-0.07657924030149132,-0.9084022642855984
8,6.1931490982159385,201.4665131474046,0.15787900410097766,0.7433080731804296
8,6.1885967331164204,200.65516777595923,0.1533266390014596,-0.06803729826495442
8,5.97273457655547,201.16228783713174,-0.06253551755949083,0.4390827629075602
8,6.023951124447655,200.66749230786147,-0.011318969667305723,-0.05571276636271705
8,6.211117420085707,201.58668776167642,0.17584732597074648,0.8634826874522332
8,6.086537268111582,199.2329705595864,0.05126717399662084,-1.490234514637791
8,5.918816125540624,201.37461099262944,-0.1164539685743371,0.6514059184052599
8,5.859323015737676,201.25170622337447,-0.17594707837728496,0.5285011491502871
8,6.100019281438859,201.26564609598788,0.06474918732389856,0.5424410217636932
8,5.806159763223792,205.03137659492927,-0.22911033089116906,4.308171520705088
8,5.9925761663029835,200.04935050708693,-0.04269392781197734,-0.6738545671372549
8,5.941780036766416,201.22993824267286,-0.09349005734854465,0.506733168448676
8,6.1568922033461755,199.13856065693102,0.12162210923121464,-1.5846444172931626
8,5.809680877141503,199.65917668419215,-0.22558921697345813,-1.0640283900320355
8,5.975942824634249,199.88999472615507,-0.0593272694807121,-0.833210348069116
8,5.739485903150506,201.90953949144975,-0.2957841909644552,1.1863344172255665
8,6.182537914557884,201.40070045565727,0.14726782044292275,0.67749538143309
8,6.156837431526219,200.34116133723575,0.1215673374112578,-0.38204373698843597
