detection_id,tile,abin,n_points,n_inliers,tilt_deg,azimuth_deg,rmse_m,area_m2,density_pts_per_m2,ok
21_842687_396770__1,w0417n3684,<5,22,22,9.623392628553223,195.89723818751094,0.013399815330611181,3.171993341653187,6.935701822291338,True
21_842688_396770__0,w0417n3684,5-15,40,38,9.992540065474167,188.19154545136166,0.016119732116774158,12.156406764358598,3.2904459989999766,True
21_842686_396769__0,w0417n3684,40-80,552,547,10.039873575501337,195.6028181283382,0.0245050018570953,55.935512387241076,9.868507079697576,True
21_843039_396833__2,w0418n3678,<5,0,0,,,,1.0002693272585665,,False
21_843020_396852__0,w0418n3678,<5,18,18,13.755275919607689,215.61306667237398,0.04429836341484478,2.138309193382254,8.417865880064165,True
21_843041_396830__1,w0418n3678,5-15,22,22,10.090496718458395,118.15713350831794,0.02956720722744038,7.1087688394184685,3.0947693611879643,True
21_843042_396831__0,w0418n3678,5-15,83,83,5.1878345091085984,149.65327724865747,0.010554607709302131,6.939796451318582,11.960004963002877,True
21_843020_396853__1,w0418n3678,5-15,99,93,9.849185004823491,180.2785576034603,0.04228850680325814,8.27939318831222,11.957398054214341,True
21_843042_396829__0,w0418n3678,15-40,302,302,5.155686476537603,168.9626163098312,0.012427901714440451,39.54696531722479,7.636489869134486,True
21_843041_396828__0,w0418n3678,15-40,132,130,4.905777873634179,179.68279212085224,0.015105996138342107,15.860676950982185,8.322469489035637,True
21_843050_396838__0,w0418n3678,15-40,303,303,5.114302174607811,165.00070317165503,0.014208678934767897,28.060970497946304,10.797915917490297,True
21_843049_396837__1,w0418n3678,15-40,198,197,4.626219114674081,161.51552268973248,0.015258475668776441,25.730118995917536,7.695261729314802,True
21_843050_396840__0,w0418n3678,40-80,430,430,5.119552799950792,161.12657086834403,0.017864351253384907,43.29672768087738,9.93146648793774,True
21_843050_396831__1,w0418n3678,40-80,447,447,5.299795796019042,173.68265510700854,0.013232862713504179,42.92183019614724,10.414280983762051,True
21_843040_396833__1,w0418n3678,40-80,507,506,5.467174318270327,143.825842517077,0.012003751288519514,58.10125742937896,8.726145051443154,True
21_843053_396835__0,w0418n3678,40-80,381,380,5.144024437509213,167.7868432828323,0.01445898040463631,47.20513580144662,8.071155681080025,True
21_843051_396837__0,w0418n3678,80-250,1418,1414,5.052326448986984,161.53906078893561,0.016676023038020786,152.26250314617164,9.312864104425785,True
21_843043_396832__0,w0418n3678,80-250,1435,1435,5.351549577713553,155.24873900321532,0.014134833645518654,143.8425645504903,9.976184757859343,True
21_843043_396827__0,w0418n3678,80-250,1262,1262,5.300425347435465,177.93566098666042,0.014447959596591588,127.76621127012586,9.877415847699002,True
21_843049_396832__0,w0418n3678,80-250,901,901,5.400636133819652,173.62967876953542,0.012636617800865037,85.6219470824211,10.523002929759148,True
21_843042_396829__1,w0418n3678,80-250,864,864,4.956740501068989,171.29963628320232,0.01426839730591947,84.95587693205182,10.169985069909076,True
21_841938_396912__0,w0419n3696,<5,46,45,18.39470813849592,180.57011724036906,0.017317358482242386,4.166700413300244,11.039910585643856,True
21_841888_396906__0,w0419n3696,<5,38,38,10.829413311185062,181.22221379439654,0.015953578810913166,3.8564293972354386,9.853674496735525,True
21_841908_396922__1,w0419n3696,5-15,87,75,19.50256654460951,185.6559001795762,0.048327717840429135,7.655290938313429,11.364688906149837,True
21_841938_396933__0,w0419n3696,15-40,365,356,17.955404888597055,90.4934377795986,0.029930505443992,29.80162768638622,12.247653176565818,True
21_841889_396907__0,w0419n3696,40-80,666,665,9.791951241312294,179.84725785832057,0.017166279540204634,70.21685465892399,9.484902210944545,True
21_841891_396907__0,w0419n3696,80-250,1676,1672,9.4971983919508,180.1001316252534,0.017327386061775266,172.43194593030776,9.719776639749766,True
21_841760_397673__0,w0431n3698,5-15,243,243,69.40875503061683,223.27593863806965,0.7997953405128554,13.41868639798549,18.109075120533475,True
21_840482_397707__0,w0432n3719,<5,10,10,11.09423478523329,191.0166746881701,0.010977872757227884,1.1883387880589606,8.415108637776655,True
21_840435_397729__1,w0432n3719,15-40,303,271,22.539073198570403,234.69807988607286,0.029052127313946168,26.380143435485614,11.485911770760707,True
